L1D,L1I,L2,Unrolling,Cycles
8kB,16kB,256kB,32,59224369
8kB,16kB,512kB,2,59785094
8kB,16kB,512kB,4,59598634
8kB,16kB,512kB,8,59439573
8kB,16kB,512kB,16,59355340
8kB,16kB,512kB,32,59216598
8kB,16kB,1024kB,2,59779420
8kB,16kB,1024kB,4,59590329
8kB,16kB,1024kB,8,59457383
8kB,16kB,1024kB,16,59371523
8kB,16kB,1024kB,32,59229719
8kB,32kB,128kB,2,59808863
8kB,32kB,128kB,4,59610195
8kB,32kB,128kB,8,59464664
8kB,32kB,128kB,16,59364101
8kB,32kB,128kB,32,59230732
8kB,32kB,256kB,2,59797756
8kB,32kB,256kB,4,59605301
8kB,32kB,256kB,8,59449246
8kB,32kB,256kB,16,59358342
8kB,32kB,256kB,32,59220530
8kB,32kB,512kB,2,59777776
8kB,32kB,512kB,4,59590686
8kB,32kB,512kB,8,59437664
8kB,32kB,512kB,16,59348398
8kB,32kB,512kB,32,59213549
8kB,32kB,1024kB,2,59779125
8kB,32kB,1024kB,4,59594311
8kB,32kB,1024kB,8,59453308
8kB,32kB,1024kB,16,59371090
8kB,32kB,1024kB,32,59233232
8kB,64kB,128kB,2,59808014
8kB,64kB,128kB,4,59609595
8kB,64kB,128kB,8,59464169
8kB,64kB,128kB,16,59363304
8kB,64kB,128kB,32,59220819
8kB,64kB,256kB,2,59795538
8kB,64kB,256kB,4,59601854
8kB,64kB,256kB,8,59446704
8kB,64kB,256kB,16,59354977
8kB,64kB,256kB,32,59217664
8kB,64kB,512kB,2,59776907
8kB,64kB,512kB,4,59589902
8kB,64kB,512kB,8,59436828
8kB,64kB,512kB,16,59347554
8kB,64kB,512kB,32,59207223
8kB,64kB,1024kB,2,59780635
8kB,64kB,1024kB,4,59597708
8kB,64kB,1024kB,8,59449576
8kB,64kB,1024kB,16,59371229
8kB,64kB,1024kB,32,59229146
16kB,2kB,128kB,2,42919368
16kB,2kB,128kB,4,42725243
16kB,2kB,128kB,8,42539600
16kB,2kB,128kB,16,47481309
16kB,2kB,128kB,32,48862125
16kB,2kB,256kB,2,42913884
16kB,2kB,256kB,4,42702755
16kB,2kB,256kB,8,42533481
16kB,2kB,256kB,16,47473700
16kB,2kB,256kB,32,48853389
16kB,2kB,512kB,2,42911251
16kB,2kB,512kB,4,42711074
16kB,2kB,512kB,8,42529864
16kB,2kB,512kB,16,47457950
16kB,2kB,512kB,32,48846881
16kB,2kB,1024kB,2,42934503
16kB,2kB,1024kB,4,42701162
16kB,2kB,1024kB,8,42552790
16kB,2kB,1024kB,16,47487017
16kB,2kB,1024kB,32,48854684
16kB,4kB,128kB,2,42920206
16kB,4kB,128kB,4,42728131
16kB,4kB,128kB,8,42541540
16kB,4kB,128kB,16,42480342
16kB,4kB,128kB,32,47021179
16kB,4kB,256kB,2,42859256
16kB,4kB,256kB,4,42648064
16kB,4kB,256kB,8,42478828
16kB,4kB,256kB,16,42407349
16kB,4kB,256kB,32,47005389
16kB,4kB,512kB,2,42848490
16kB,4kB,512kB,4,42648700
16kB,4kB,512kB,8,42467574
16kB,4kB,512kB,16,42458947
16kB,4kB,512kB,32,46993897
16kB,4kB,1024kB,2,42878372
16kB,4kB,1024kB,4,42646364
16kB,4kB,1024kB,8,42498286
16kB,4kB,1024kB,16,42438271
16kB,4kB,1024kB,32,47036568
16kB,8kB,128kB,2,42913452
16kB,8kB,128kB,4,42701162
16kB,8kB,128kB,8,42535529
16kB,8kB,128kB,16,42461535
16kB,8kB,128kB,32,42348777
16kB,8kB,256kB,2,42901972
16kB,8kB,256kB,4,42688374
16kB,8kB,256kB,8,42519923
16kB,8kB,256kB,16,42469003
16kB,8kB,256kB,32,42319313
16kB,8kB,512kB,2,42840704
16kB,8kB,512kB,4,42640811
16kB,8kB,512kB,8,42459649
16kB,8kB,512kB,16,42450652
16kB,8kB,512kB,32,42305111
16kB,8kB,1024kB,2,42878300
16kB,8kB,1024kB,4,42646364
16kB,8kB,1024kB,8,42497831
16kB,8kB,1024kB,16,42438221
16kB,8kB,1024kB,32,42317482
16kB,16kB,128kB,2,42856748
16kB,16kB,128kB,4,42662594
16kB,16kB,128kB,8,42476896
16kB,16kB,128kB,16,42430107
16kB,16kB,128kB,32,42364112
16kB,16kB,256kB,2,42843441
16kB,16kB,256kB,4,42632268
16kB,16kB,256kB,8,42463167
16kB,16kB,256kB,16,42391523
16kB,16kB,256kB,32,42303425
16kB,16kB,512kB,2,42832918
16kB,16kB,512kB,4,42633024
16kB,16kB,512kB,8,42451708
16kB,16kB,512kB,16,42442765
16kB,16kB,512kB,32,42331310
16kB,16kB,1024kB,2,42854824
16kB,16kB,1024kB,4,42661620
16kB,16kB,1024kB,8,42474361
16kB,16kB,1024kB,16,42423687
16kB,16kB,1024kB,32,42304824
16kB,32kB,128kB,2,42896336
16kB,32kB,128kB,4,42704142
16kB,32kB,128kB,8,42517622
16kB,32kB,128kB,16,42456527
16kB,32kB,128kB,32,42364001
16kB,32kB,256kB,2,42835322
16kB,32kB,256kB,4,42624189
16kB,32kB,256kB,8,42455026
16kB,32kB,256kB,16,42383219
16kB,32kB,256kB,32,42349991
16kB,32kB,512kB,2,42832540
16kB,32kB,512kB,4,42632665
16kB,32kB,512kB,8,42451213
16kB,32kB,512kB,16,42442378
16kB,32kB,512kB,32,42303175
16kB,32kB,1024kB,2,42846707
16kB,32kB,1024kB,4,42614724
16kB,32kB,1024kB,8,42465867
16kB,32kB,1024kB,16,42406528
16kB,32kB,1024kB,32,42290697
16kB,64kB,128kB,2,42895679
16kB,64kB,128kB,4,42703424
16kB,64kB,128kB,8,42516884
16kB,64kB,128kB,16,42455676
16kB,64kB,128kB,32,42331316
16kB,64kB,256kB,2,42882318
16kB,64kB,256kB,4,42689445
16kB,64kB,256kB,8,42502575
16kB,64kB,256kB,16,42429346
16kB,64kB,256kB,32,42295389
16kB,64kB,512kB,2,42862961
16kB,64kB,512kB,4,42664979
16kB,64kB,512kB,8,42484747
16kB,64kB,512kB,16,42424496
16kB,64kB,512kB,32,42281144
16kB,64kB,1024kB,2,42881609
16kB,64kB,1024kB,4,42642479
16kB,64kB,1024kB,8,42494666
16kB,64kB,1024kB,16,42435640
16kB,64kB,1024kB,32,42290697
32kB,2kB,128kB,2,42633139
32kB,2kB,128kB,4,42408820
32kB,2kB,128kB,8,42278590
32kB,2kB,128kB,16,47203705
32kB,2kB,128kB,32,48476108
32kB,2kB,256kB,2,42615513
32kB,2kB,256kB,4,42388331
32kB,2kB,256kB,8,42260428
32kB,2kB,256kB,16,47190629
32kB,2kB,256kB,32,48469042
32kB,2kB,512kB,2,42593171
32kB,2kB,512kB,4,42372590
32kB,2kB,512kB,8,42278075
32kB,2kB,512kB,16,47172264
32kB,2kB,512kB,32,48468154
32kB,2kB,1024kB,2,42613514
32kB,2kB,1024kB,4,42386812
32kB,2kB,1024kB,8,42249559
32kB,2kB,1024kB,16,47174806
32kB,2kB,1024kB,32,48465027
32kB,4kB,128kB,2,42580715
32kB,4kB,128kB,4,42376394
32kB,4kB,128kB,8,42226391
32kB,4kB,128kB,16,42185703
32kB,4kB,128kB,32,46641610
32kB,4kB,256kB,2,42564642
32kB,4kB,256kB,4,42360875
32kB,4kB,256kB,8,42208674
32kB,4kB,256kB,16,42158076
32kB,4kB,256kB,32,46630542
32kB,4kB,512kB,2,42546232
32kB,4kB,512kB,4,42319635
32kB,4kB,512kB,8,42186399
32kB,4kB,512kB,16,42139942
32kB,4kB,512kB,32,46626522
32kB,4kB,1024kB,2,42561435
32kB,4kB,1024kB,4,42338489
32kB,4kB,1024kB,8,42196291
32kB,4kB,1024kB,16,42166016
32kB,4kB,1024kB,32,46657847
32kB,8kB,128kB,2,42575793
32kB,8kB,128kB,4,42348984
32kB,8kB,128kB,8,42220909
32kB,8kB,128kB,16,42181241
32kB,8kB,128kB,32,41936302
32kB,8kB,256kB,2,42560010
32kB,8kB,256kB,4,42333603
32kB,8kB,256kB,8,42205709
32kB,8kB,256kB,16,42154135
32kB,8kB,256kB,32,41927819
32kB,8kB,512kB,2,42538550
32kB,8kB,512kB,4,42317834
32kB,8kB,512kB,8,42223325
32kB,8kB,512kB,16,42142345
32kB,8kB,512kB,32,41925687
32kB,8kB,1024kB,2,42555135
32kB,8kB,1024kB,4,42344797
32kB,8kB,1024kB,8,42190099
32kB,8kB,1024kB,16,42163477
32kB,8kB,1024kB,32,41951750
32kB,16kB,128kB,2,42560220
32kB,16kB,128kB,4,42355671
32kB,16kB,128kB,8,42206921
32kB,16kB,128kB,16,42171087
32kB,16kB,128kB,32,41924727
32kB,16kB,256kB,2,42542539
32kB,16kB,256kB,4,42337179
32kB,16kB,256kB,8,42187269
32kB,16kB,256kB,16,42152221
32kB,16kB,256kB,32,41908054
32kB,16kB,512kB,2,42525189
32kB,16kB,512kB,4,42301016
32kB,16kB,512kB,8,42168009
32kB,16kB,512kB,16,42132783
32kB,16kB,512kB,32,41909459
32kB,16kB,1024kB,2,42537040
32kB,16kB,1024kB,4,42311710
32kB,16kB,1024kB,8,42172754
32kB,16kB,1024kB,16,42143178
32kB,16kB,1024kB,32,41933127
32kB,32kB,128kB,2,42554313
32kB,32kB,128kB,4,42330031
32kB,32kB,128kB,8,42199884
32kB,32kB,128kB,16,42159948
32kB,32kB,128kB,32,41915945
32kB,32kB,256kB,2,42542650
32kB,32kB,256kB,4,42317540
32kB,32kB,256kB,8,42234098
32kB,32kB,256kB,16,42151758
32kB,32kB,256kB,32,41910851
32kB,32kB,512kB,2,42523168
32kB,32kB,512kB,4,42300476
32kB,32kB,512kB,8,42163771
32kB,32kB,512kB,16,42126176
32kB,32kB,512kB,32,41904833
32kB,32kB,1024kB,2,42537404
32kB,32kB,1024kB,4,42325803
32kB,32kB,1024kB,8,42173305
32kB,32kB,1024kB,16,42135086
32kB,32kB,1024kB,32,41932512
32kB,64kB,128kB,2,42552790
32kB,64kB,128kB,4,42324597
32kB,64kB,128kB,8,42247002
32kB,64kB,128kB,16,42163938
32kB,64kB,128kB,32,41916657
32kB,64kB,256kB,2,42539884
32kB,64kB,256kB,4,42336106
32kB,64kB,256kB,8,42184013
32kB,64kB,256kB,16,42133151
32kB,64kB,256kB,32,41909341
32kB,64kB,512kB,2,42521468
32kB,64kB,512kB,4,42294895
32kB,64kB,512kB,8,42161371
32kB,64kB,512kB,16,42115097
32kB,64kB,512kB,32,41901786
32kB,64kB,1024kB,2,42535629
32kB,64kB,1024kB,4,42313729
32kB,64kB,1024kB,8,42169829
32kB,64kB,1024kB,16,42141013
32kB,64kB,1024kB,32,41932719
64kB,2kB,128kB,2,42784357
64kB,2kB,128kB,4,42578973
64kB,2kB,128kB,8,42406007
64kB,2kB,128kB,16,47321361
64kB,2kB,128kB,32,48768826
64kB,2kB,256kB,2,42609892
64kB,2kB,256kB,4,42385501
64kB,2kB,256kB,8,42255433
64kB,2kB,256kB,16,47177367
64kB,2kB,256kB,32,48467253
64kB,2kB,512kB,2,42592999
64kB,2kB,512kB,4,42387350
64kB,2kB,512kB,8,42233198
64kB,2kB,512kB,16,47150503
64kB,2kB,512kB,32,48468154
64kB,2kB,1024kB,2,42602537
64kB,2kB,1024kB,4,42393114
64kB,2kB,1024kB,8,42255961
64kB,2kB,1024kB,16,47162073
64kB,2kB,1024kB,32,48465027
64kB,4kB,128kB,2,42728286
64kB,4kB,128kB,4,42525610
64kB,4kB,128kB,8,42354541
64kB,4kB,128kB,16,42305632
64kB,4kB,128kB,32,46906198
64kB,4kB,256kB,2,42563572
64kB,4kB,256kB,4,42341314
64kB,4kB,256kB,8,42208502
64kB,4kB,256kB,16,42173604
64kB,4kB,256kB,32,46628132
64kB,4kB,512kB,2,42542727
64kB,4kB,512kB,4,42322916
64kB,4kB,512kB,8,42225411
64kB,4kB,512kB,16,42150236
64kB,4kB,512kB,32,46626627
64kB,4kB,1024kB,2,42555261
64kB,4kB,1024kB,4,42333648
64kB,4kB,1024kB,8,42193205
64kB,4kB,1024kB,16,42152672
64kB,4kB,1024kB,32,46653428
64kB,8kB,128kB,2,42729598
64kB,8kB,128kB,4,42518029
64kB,8kB,128kB,8,42351870
64kB,8kB,128kB,16,42299140
64kB,8kB,128kB,32,42191721
64kB,8kB,256kB,2,42555094
64kB,8kB,256kB,4,42330576
64kB,8kB,256kB,8,42200575
64kB,8kB,256kB,16,42149521
64kB,8kB,256kB,32,41926679
64kB,8kB,512kB,2,42539692
64kB,8kB,512kB,4,42316617
64kB,8kB,512kB,8,42179944
64kB,8kB,512kB,16,42134035
64kB,8kB,512kB,32,41922700
64kB,8kB,1024kB,2,42547372
64kB,8kB,1024kB,4,42325789
64kB,8kB,1024kB,8,42185085
64kB,8kB,1024kB,16,42144720
64kB,8kB,1024kB,32,41953044
64kB,16kB,128kB,2,42713968
64kB,16kB,128kB,4,42506211
64kB,16kB,128kB,8,42335603
64kB,16kB,128kB,16,42285727
64kB,16kB,128kB,32,42176815
64kB,16kB,256kB,2,42542539
64kB,16kB,256kB,4,42316589
64kB,16kB,256kB,8,42234409
64kB,16kB,256kB,16,42136472
64kB,16kB,256kB,32,41914583
64kB,16kB,512kB,2,42525189
64kB,16kB,512kB,4,42301016
64kB,16kB,512kB,8,42167751
64kB,16kB,512kB,16,42127605
64kB,16kB,512kB,32,41908277
64kB,16kB,1024kB,2,42535233
64kB,16kB,1024kB,4,42308869
64kB,16kB,1024kB,8,42171264
64kB,16kB,1024kB,16,42142327
64kB,16kB,1024kB,32,41933127
64kB,32kB,128kB,2,42710230
64kB,32kB,128kB,4,42501495
64kB,32kB,128kB,8,42330954
64kB,32kB,128kB,16,42282101
64kB,32kB,128kB,32,42173473
64kB,32kB,256kB,2,42537217
64kB,32kB,256kB,4,42309754
64kB,32kB,256kB,8,42181680
64kB,32kB,256kB,16,42141013
64kB,32kB,256kB,32,41907792
64kB,32kB,512kB,2,42517024
64kB,32kB,512kB,4,42292689
64kB,32kB,512kB,8,42159763
64kB,32kB,512kB,16,42124369
64kB,32kB,512kB,32,41901806
64kB,32kB,1024kB,2,42531819
64kB,32kB,1024kB,4,42320948
64kB,32kB,1024kB,8,42167727
64kB,32kB,1024kB,16,42129178
64kB,32kB,1024kB,32,41928127
64kB,64kB,128kB,2,42707972
64kB,64kB,128kB,4,42498109
64kB,64kB,128kB,8,42328732
64kB,64kB,128kB,16,42280094
64kB,64kB,128kB,32,42169367
64kB,64kB,256kB,2,42536651
64kB,64kB,256kB,4,42309061
64kB,64kB,256kB,8,42181119
64kB,64kB,256kB,16,42140413
64kB,64kB,256kB,32,41910646
64kB,64kB,512kB,2,42516360
64kB,64kB,512kB,4,42291977
64kB,64kB,512kB,8,42158958
64kB,64kB,512kB,16,42123591
64kB,64kB,512kB,32,41903919
64kB,64kB,1024kB,2,42534131
64kB,64kB,1024kB,4,42307546
64kB,64kB,1024kB,8,42169919
64kB,64kB,1024kB,16,42141013
64kB,64kB,1024kB,32,41929435
